17:12:16 | 200 |    144.9211ms | 127.0.0.1 | POST | /api/auth/login | -
17:12:37 | 200 |    132.1131ms | 127.0.0.1 | POST | /api/auth/login | -
17:14:12 | 404 |      5.9637ms | 127.0.0.1 | PUT | /api/admin/users | Cannot PUT /api/admin/users
17:14:29 | 404 |            0s | 127.0.0.1 | POST | /api/admin/users | Cannot POST /api/admin/users
17:15:23 | 200 |    135.4773ms | 127.0.0.1 | POST | /api/auth/login | -
17:16:16 | 404 |            0s | 127.0.0.1 | POST | /api/admin/users | Cannot POST /api/admin/users
17:20:48 | 200 |    167.6465ms | 127.0.0.1 | POST | /api/auth/login | -
17:21:19 | 201 |     175.144ms | 127.0.0.1 | POST | /api/admin/users | -
17:24:06 | 404 |            0s | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | Cannot PUT /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8
17:24:28 | 404 |            0s | 127.0.0.1 | PUT | /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633 | Cannot PUT /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633
17:24:57 | 404 |       689.2µs | 127.0.0.1 | PUT | /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633 | Cannot PUT /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633
17:25:27 | 404 |      1.3331ms | 127.0.0.1 | PUT | /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633 | Cannot PUT /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633
12:24:45 | 200 |    200.8532ms | 127.0.0.1 | POST | /api/auth/login | -
12:26:05 | 401 |      3.7071ms | 127.0.0.1 | POST | /api/admin/users | -
12:27:02 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
12:27:21 | 200 |    128.3306ms | 127.0.0.1 | POST | /api/auth/login | -
12:27:41 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
12:29:22 | 200 |    131.5596ms | 127.0.0.1 | POST | /api/auth/login | -
12:29:42 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
12:38:59 | 200 |    157.5787ms | 127.0.0.1 | POST | /api/auth/login | -
12:39:20 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
12:39:44 | 200 |    132.4336ms | 127.0.0.1 | POST | /api/auth/login | -
12:40:03 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
12:44:24 | 200 |    132.4885ms | 127.0.0.1 | POST | /api/auth/login | -
12:44:42 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
12:45:31 | 200 |    217.7865ms | 127.0.0.1 | POST | /api/auth/login | -
12:45:54 | 401 |      2.5761ms | 127.0.0.1 | POST | /api/admin/users | -
12:46:13 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
